,GroupID,MemberID,HomePlanet,Destination,CryoSleep,VIP,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Deck,Cabin_num,Side,Transported
0,1,1,1,0,0,0,39,0.0,0.0,0.0,0.0,0.0,3,0,1,0
1,2,1,0,0,0,0,24,109.0,9.0,25.0,549.0,44.0,0,0,0,1
2,3,1,1,0,0,1,58,43.0,3576.0,0.0,6715.0,49.0,6,0,0,0
3,3,2,1,0,0,0,33,0.0,1283.0,371.0,3329.0,193.0,6,0,0,0
4,4,1,0,0,0,0,16,303.0,70.0,151.0,565.0,2.0,0,1,0,1
5,5,1,0,2,0,0,44,0.0,483.0,0.0,291.0,0.0,0,0,1,1
6,6,1,0,0,0,0,26,42.0,1539.0,3.0,0.0,0.0,0,2,0,1
7,6,2,0,0,1,0,28,0.0,0.0,0.0,0.0,0.0,1,0,0,1
8,7,1,0,0,0,0,35,0.0,785.0,17.0,216.0,0.0,0,3,0,1
9,8,1,1,1,1,0,14,0.0,0.0,0.0,0.0,0.0,3,1,1,1
10,8,2,1,0,1,0,34,0.0,0.0,0.0,0.0,0.0,3,1,1,1
11,8,3,1,1,0,0,45,39.0,7295.0,589.0,110.0,124.0,3,1,1,1
12,9,1,2,0,0,0,32,73.0,0.0,1123.0,0.0,113.0,0,1,1,1
13,10,1,0,0,0,0,48,719.0,1.0,65.0,0.0,24.0,1,1,0,0
14,11,1,0,0,0,0,28,8.0,974.0,12.0,2.0,7.0,0,2,1,1
15,12,1,0,0,0,0,31,32.0,0.0,876.0,0.0,0.0,7,-1,2,0
16,14,1,2,1,0,0,27,1286.0,122.0,0.0,0.0,0.0,0,3,1,0
17,15,1,0,1,0,0,24,0.0,1.0,0.0,0.0,637.0,0,4,1,0
18,16,1,2,0,1,0,45,0.0,0.0,0.0,0.0,0.0,0,5,1,1
19,17,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,1,1
20,17,2,0,1,0,0,14,412.0,0.0,1.0,0.0,679.0,0,6,1,0
21,20,1,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,2,0,0,0
22,20,2,0,1,1,0,49,0.0,0.0,0.0,0.0,0.0,2,0,0,0
23,20,3,0,1,1,0,29,0.0,0.0,0.0,0.0,0.0,2,0,0,0
24,20,4,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,2,0,0,1
25,20,5,0,2,1,0,1,0.0,0.0,0.0,0.0,0.0,2,0,0,0
26,20,6,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,2,0,0,0
27,22,1,2,0,0,0,21,980.0,2.0,69.0,0.0,0.0,5,0,1,0
28,24,1,1,0,1,0,62,0.0,0.0,0.0,0.0,0.0,4,2,0,1
29,25,1,0,0,0,0,15,0.0,225.0,0.0,998.0,0.0,0,6,0,0
30,26,1,1,1,0,0,34,22.0,6073.0,0.0,1438.0,328.0,4,0,1,0
31,28,1,2,0,0,0,43,1125.0,0.0,136.0,48.0,0.0,0,8,1,0
32,30,1,0,0,0,0,32,0.0,850.0,81.0,437.0,453.0,1,4,0,0
33,31,1,2,0,0,0,47,214.0,0.0,1411.0,0.0,1229.0,0,9,1,1
34,31,2,2,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0,9,1,1
35,31,3,2,0,0,0,20,0.0,0.0,1750.0,990.0,0.0,0,9,1,1
36,34,1,1,1,1,0,28,0.0,0.0,0.0,0.0,0.0,5,1,0,1
37,35,1,2,1,0,0,23,784.0,964.0,0.0,951.0,0.0,5,1,1,0
38,36,1,0,1,0,0,15,0.0,492.0,48.0,20.0,401.0,0,8,0,0
39,38,1,0,1,0,0,20,554.0,195.0,0.0,2606.0,0.0,0,10,0,0
40,39,1,0,1,1,0,30,0.0,0.0,0.0,0.0,0.0,1,1,1,0
41,41,1,0,0,1,0,17,0.0,0.0,0.0,0.0,0.0,1,2,1,1
42,43,1,1,0,0,0,45,0.0,164.0,45.0,2511.0,855.0,3,3,1,0
43,44,1,0,0,1,0,55,0.0,0.0,0.0,0.0,0.0,1,3,1,0
44,44,2,0,1,1,0,4,0.0,0.0,0.0,0.0,0.0,1,3,1,1
45,44,3,0,2,1,0,21,0.0,0.0,0.0,0.0,0.0,1,3,1,1
46,45,1,2,0,0,0,21,970.0,0.0,180.0,0.0,64.0,0,10,1,0
47,45,2,2,3,1,0,19,0.0,0.0,0.0,0.0,0.0,0,10,1,1
